module;constant;value_expression;category;provenance;confidence;justification;source;line
IntakeManifold.js;MAX_SOURCE_MASS_FRACTION_PER_STEP;0.25;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Fraction maximale de la masse d'un volume transférable en un seul pas. À dt = 0.1 ms, cette limite ne doit normalement jamais être atteinte ; elle protège uniquement le solveur d'un saut de pression ou d'un mauvais dt.";Choix numérique projet;96
ExhaustManifold.js;EXHAUST_SCROLL_BY_CYLINDER;[0, 1, 1, 0];Architecture;Groupement twin-entry 1+4 / 2+3;Moyenne à haute;Topologie physique retenue pour conserver les impulsions d’échappement. Commentaire code : Les cylindres sont indexés dans le code : 0=1, 1=2, 2=3, 3=4. Le collecteur twin-entry sépare les groupes 1+4 et 2+3. Cette séparation conserve les impulsions d'échappement pour la turbine twin-entry.;Architecture ST205 / projet;45
ExhaustManifold.js;EXHAUST_SCROLL_COUNT;2;Architecture;Architecture 16 soupapes / twin-entry;Haute à moyenne;Architecture du système, pas un ajustement de performance.;Architecture ST205 / projet;46
ExhaustManifold.js;EXHAUST_SCROLL_VOLUME;0.00075;Estimation / calibration;0,75 L par scroll, calibration de départ;Moyenne;Volume 0D équivalent de chaque branche twin-entry, non mesuré constructeur. Commentaire code : Volume 0D équivalent d'un demi-collecteur : conduits courts + entrée de la future volute turbine. La valeur de 0.75 L par scroll est une calibration de départ, pas une mesure constructeur certifiée.;Calibration projet;51
ExhaustManifold.js;ATMOSPHERIC_PRESSURE;101325;Condition de référence;Atmosphère de référence : 101 325 Pa;Haute;Pression aval/ambiante imposée pour la simulation, non spécifique Toyota.;Condition ambiante de simulation;57
ExhaustManifold.js;ATMOSPHERIC_TEMPERATURE;293;Condition de référence;Ambiante de référence : 293 K (~20 °C);Haute;Température ambiante de référence, non spécifique Toyota.;Condition ambiante de simulation;58
ExhaustManifold.js;TAILPIPE_REVERSE_LEAK_DIAMETER;0.0015;Estimation géométrique;Géométrie équivalente 0D;Moyenne;Géométrie effective de travail, non revendiquée comme mesure constructeur. Commentaire code : Une très petite fuite inverse reste autorisée pour égaliser lentement la pression lorsque le moteur est arrêté. Elle représente la diffusion et les échanges faibles à travers la ligne d'échappement, pas un reflux libre par toute la section de sortie. Son di…;Estimation projet;64
ExhaustManifold.js;TAILPIPE_REVERSE_LEAK_AREA;Math.PI * Math.pow(TAILPIPE_REVERSE_LEAK_DIAMETER, 2) / 4;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;65
ExhaustManifold.js;TAILPIPE_REVERSE_LEAK_DISCHARGE_COEFFICIENT;0.35;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;68
ExhaustManifold.js;EXHAUST_WALL_THERMAL_CAPACITY;1100;Estimation / calibration thermique;Capacité thermique équivalente d’un scroll;Faible à moyenne;"Paramètre lumped représentant métal du collecteur, bride et volute proche ; réglé pour une inertie thermique réaliste, sans mesure ST205 dédiée. Commentaire code : Capacité thermique équivalente du métal associé à UN scroll : conduits en fonte, bride et partie de volute proche. Cette constante produit une montée en température sur plusieurs secondes et un refroidissement sur plusieurs dizaines de secondes, au lieu d'i…";Estimation/calibration projet;78
ExhaustManifold.js;EXHAUST_GAS_WALL_BASE_CONDUCTANCE;4.0;Calibration;Coefficient de débit / réponse calibré;Moyenne;"Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Échange gaz → métal. Le terme de base représente la convection naturelle et les faibles mouvements de gaz ; le second terme augmente avec la racine du débit traversant le scroll, approximation robuste pour un modèle temps réel.";Calibration projet;83
ExhaustManifold.js;EXHAUST_GAS_WALL_FLOW_CONDUCTANCE;170;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;84
ExhaustManifold.js;EXHAUST_WALL_AMBIENT_CONDUCTANCE;6.0;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Refroidissement du métal vers le compartiment moteur. Cette valeur regroupe convection et rayonnement dans un coefficient linéarisé simple.;Calibration projet;88
ExhaustManifold.js;MIN_WALL_TEMPERATURE;ATMOSPHERIC_TEMPERATURE;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Limites physiques et numériques de la paroi.";Choix numérique projet;91
ExhaustManifold.js;MAX_WALL_TEMPERATURE;1350;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;92
ExhaustManifold.js;MAX_GAS_WALL_ENERGY_FRACTION_PER_STEP;0.08;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;93
ExhaustManifold.js;EGT_SENSOR_HIGH_FLOW_TIME_CONSTANT;0.35;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Modèle de sonde EGT. À fort débit, la sonde suit assez vite le gaz. À faible débit, elle est surtout influencée par le métal chaud et sa réponse devient beaucoup plus lente. Ces constantes concernent l'affichage/monitoring : elles ne modifient jamais l'éner…;Calibration projet;99
ExhaustManifold.js;EGT_SENSOR_LOW_FLOW_TIME_CONSTANT;2.50;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;100
ExhaustManifold.js;EGT_SENSOR_FLOW_REFERENCE;0.010;Instrumentation / calibration capteur;Débit de référence du modèle de sonde EGT;Moyenne;"Paramètre uniquement destiné à interpoler la constante de temps de la sonde virtuelle ; n’intervient pas dans l’énergie turbine.";Instrumentation projet;101
ExhaustManifold.js;TURBINE_POWER_MONITOR_TIME_CONSTANT;0.080;Calibration;Coefficient de débit / réponse calibré;Moyenne;"Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Filtre de monitoring de la puissance disponible. La dynamique d’arbre utilise toujours la valeur instantanée ; ce filtre sert uniquement aux courbes et aux nombres lisibles dans l'interface.";Calibration projet;106
ExhaustManifold.js;MIN_PRESSURE;1000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;112
ExhaustManifold.js;MIN_TEMPERATURE;180;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;113
ExhaustManifold.js;MAX_TEMPERATURE;2600;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;114
ExhaustManifold.js;MIN_GAS_MASS;1e-9;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;115
ExhaustManifold.js;MAX_SOURCE_MASS_FRACTION_PER_STEP;0.25;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;116
ExhaustManifold.js;MAX_CYLINDER_WALL_ENERGY_FRACTION_PER_STEP;0.08;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;117
Turbocharger.js;TURBO_INLET_PRESSURE;101325;Condition de référence;Atmosphère de référence;Haute (comme condition);Condition ambiante imposée au modèle.;Hypothèse de simulation;34
Turbocharger.js;TURBO_INLET_TEMPERATURE;293;Condition de référence;Atmosphère de référence;Haute (comme condition);Condition ambiante imposée au modèle.;Hypothèse de simulation;35
Turbocharger.js;TURBINE_OUTLET_PRESSURE;108000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Pression après la turbine. Une ligne réelle oppose une légère contre-pression. Cette constante représente la turbine aval + downpipe + catalyseur + silencieux.;Calibration projet;39
Turbocharger.js;TURBINE_EFFECTIVE_RADIUS;0.026;Estimation / calibration turbo;Géométrie équivalente sans carte constructeur;Faible à moyenne;Paramètre équivalent choisi pour reproduire qualitativement débit, spool et bilan d’arbre. Commentaire code : Rayon moyen auquel le gaz transmet son moment cinétique à la roue. Valeur de calibration pour un petit turbo de série à faible inertie.;Estimation/calibration projet;47
Turbocharger.js;TURBINE_THROAT_AREA_PER_SCROLL;1.45e-4;Estimation / calibration turbo;Géométrie équivalente sans carte constructeur;Faible à moyenne;Paramètre équivalent choisi pour reproduire qualitativement débit, spool et bilan d’arbre. Commentaire code : Section minimale de chaque entrée de turbine twin-entry. Les deux scrolls restent indépendants jusqu'à la roue afin de conserver les pulsations.;Estimation/calibration projet;51
Turbocharger.js;TURBINE_DISCHARGE_COEFFICIENT;0.78;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;52
Turbocharger.js;TURBINE_LOW_SPEED_PEAK_EFFICIENCY;0.66;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Rendement maximal de conversion de l'énergie isentropique en puissance arbre. La roue n'atteint son meilleur comportement que près de sa vitesse de dessin : à faible vitesse, l'incidence et l'admission partielle réduisent le rendement. La transition est con…;Calibration projet;59
Turbocharger.js;TURBINE_DESIGN_SPEED_PEAK_EFFICIENCY;0.74;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;60
Turbocharger.js;TURBINE_LOW_SPEED_FLOW_UTILIZATION_REFERENCE;0.043;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Cette loi analytique remplace l'ancien comportement trop optimiste où chaque gramme de gaz produisait immédiatement le couple turbine maximal. Elle ne dépend pas directement du régime moteur : le seuil de spool apparaît depuis le débit réel calculé dans cha…;Calibration projet;70
Turbocharger.js;TURBINE_DESIGN_SPEED_FLOW_UTILIZATION_REFERENCE;0.030;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;71
Turbocharger.js;TURBINE_EFFICIENCY_RECOVERY_START_RPM;118000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;72
Turbocharger.js;TURBINE_EFFICIENCY_RECOVERY_FULL_RPM;130000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;73
Turbocharger.js;TURBINE_FLOW_UTILIZATION_EXPONENT;4.0;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;74
Turbocharger.js;TURBINE_OPTIMAL_BLADE_SPEED_RATIO;0.68;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Rapport optimal vitesse périphérique / vitesse de détente isentropique.;Calibration projet;77
Turbocharger.js;WASTEGATE_MAX_AREA_PER_SCROLL;3.20e-4;Estimation / calibration turbo;Section équivalente maximale de wastegate;Faible à moyenne;"Aire effective de travail sans mesure CT20B disponible dans le projet ; paramètre influent sur la régulation du boost. Commentaire code : Aire totale de la wastegate interne, divisée entre les deux scrolls dans ce modèle. Elle doit être suffisante pour stabiliser le boost à haut régime.";Estimation/calibration projet;85
Turbocharger.js;WASTEGATE_DISCHARGE_COEFFICIENT;0.72;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;86
Turbocharger.js;BOOST_TARGET_GAUGE_PRESSURE;90000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Consigne de suralimentation manométrique au collecteur. La calibration est volontairement légèrement moins agressive que dans la première version : la priorité est désormais la forme complète de la courbe et non l'obtention d'un unique point de puissance à …;Calibration projet;92
Turbocharger.js;BOOST_TARGET_LOW_FLOW_GAUGE_PRESSURE;72000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Le calculateur limite davantage la pression lorsque le compresseur travaille encore à faible débit corrigé, puis autorise progressivement la cible nominale. Cette loi agit sur la wastegate, jamais directement sur le couple moteur.;Calibration projet;97
Turbocharger.js;BOOST_TARGET_FLOW_RAMP_START;0.115;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;98
Turbocharger.js;BOOST_TARGET_FLOW_RAMP_FULL;0.175;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;99
Turbocharger.js;WASTEGATE_CRACK_GAUGE_PRESSURE;65000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : La capsule commence à ouvrir avant la consigne. Cette ouverture anticipée évite un pic de couple excessif au moment où le turbo atteint brutalement sa zone efficace. Le correcteur VSV-equivalent ajuste ensuite la position autour de la cible, sans imposer di…;Calibration projet;105
Turbocharger.js;WASTEGATE_FULL_OPEN_GAUGE_PRESSURE;100000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;106
Turbocharger.js;WASTEGATE_CONTROL_KP;1 / 26000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;107
Turbocharger.js;WASTEGATE_CONTROL_KI;1 / 150000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;108
Turbocharger.js;WASTEGATE_ACTUATOR_TIME_CONSTANT;0.040;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;109
Turbocharger.js;TURBO_OVERSPEED_WASTEGATE_START_RPM;165000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Garde de sécurité : ouverture supplémentaire lorsque l'arbre approche de sa vitesse maximale raisonnable.;Calibration projet;113
Turbocharger.js;TURBO_MAX_RPM;185000;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;114
Turbocharger.js;TURBO_SHAFT_INERTIA;1.20e-4;Calibration;Inertie équivalente du rotor;Faible à moyenne;"Paramètre fortement influent sur le spool ; pas issu d’une mesure CT20B publique dans le projet. Commentaire code : Inertie équivalente turbine + arbre + compresseur. La première calibration était beaucoup trop faible : l'arbre atteignait plus de 100 000 tr/min alors que le moteur se trouvait encore vers 1500–2000 tr/min. Cette valeur inclut l'inertie polaire équivalente…";Calibration projet;125
Turbocharger.js;TURBO_BEARING_VISCOUS_FRICTION;1.8e-7;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Pertes de paliers et de brassage. Elles s'opposent toujours à la rotation.;Calibration projet;128
Turbocharger.js;TURBO_WINDAGE_FRICTION;1.3e-11;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;129
Turbocharger.js;TURBO_LOW_SPEED_FRICTION;0.0030;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;130
Turbocharger.js;TURBO_LOW_SPEED_FRICTION_RPM;12000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;131
Turbocharger.js;COMPRESSOR_TIP_DIAMETER;0.052;Estimation / calibration turbo;Géométrie équivalente sans carte constructeur;Faible à moyenne;Paramètre équivalent choisi pour reproduire qualitativement débit, spool et bilan d’arbre. Commentaire code : Dimensions équivalentes de la roue compresseur. Elles sont des constantes de travail et non des mesures certifiées d'une roue CT20B particulière.;Estimation/calibration projet;139
Turbocharger.js;COMPRESSOR_INDUCER_DIAMETER;0.039;Estimation / calibration turbo;Géométrie équivalente sans carte constructeur;Faible à moyenne;Paramètre équivalent choisi pour reproduire qualitativement débit, spool et bilan d’arbre.;Estimation/calibration projet;140
Turbocharger.js;COMPRESSOR_TIP_RADIUS;COMPRESSOR_TIP_DIAMETER / 2;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;141
Turbocharger.js;COMPRESSOR_INDUCER_AREA;Math.PI * Math.pow(COMPRESSOR_INDUCER_DIAMETER, 2) / 4;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;142
Turbocharger.js;COMPRESSOR_SLIP_FACTOR;0.88;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Le travail isentropique disponible suit U², conformément à l'équation d'Euler des turbomachines. Le produit slip * loading regroupe la géométrie des aubages.;Calibration projet;148
Turbocharger.js;COMPRESSOR_LOADING_COEFFICIENT;0.66;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;149
Turbocharger.js;COMPRESSOR_MIN_EFFICIENCY;0.42;Calibration turbo / domaine;Borne basse de rendement du modèle analytique;Faible à moyenne;Borne physique/calibrée de la loi compresseur simplifiée, faute de carte CT20B mesurée. Commentaire code : Rendement calculé analytiquement en fonction de la vitesse et du coefficient de débit. Les limites évitent une température irréaliste hors du point nominal.;Calibration/domaine projet;153
Turbocharger.js;COMPRESSOR_MAX_EFFICIENCY;0.76;Calibration turbo / domaine;Borne haute de rendement du modèle analytique;Faible à moyenne;Borne physique/calibrée de la loi compresseur simplifiée, faute de carte CT20B mesurée.;Calibration/domaine projet;154
Turbocharger.js;COMPRESSOR_DESIGN_RPM;125000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;155
Turbocharger.js;COMPRESSOR_DESIGN_FLOW_COEFFICIENT;0.30;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;156
Turbocharger.js;COMPRESSOR_DELIVERY_AREA;7.5e-4;Estimation / calibration turbo;Géométrie équivalente sans carte constructeur;Faible à moyenne;Paramètre équivalent choisi pour reproduire qualitativement débit, spool et bilan d’arbre. Commentaire code : Orifice équivalent entre la roue et le volume de suralimentation. Il permet à l'air de traverser le compresseur même à très faible régime, donc le moteur conserve un fonctionnement atmosphérique avant le spool.;Estimation/calibration projet;161
